,begin loc,begin name,end loc,end name,grids through,num through
0,"(-71.181398299999998, 42.418561100000012)",Park Ave,"(-71.151317499999976, 42.418163700000008)",US-3/MA-60/Mystic St/Pleasant St,"[2454, 2455, 2456, 2457, 2458, 2459, 2460]",7
1,"(-71.137962000000002, 42.399880600000003)",US-3/MA-16/Alewife Brook Pkwy,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"[1867, 1916, 1917, 1965, 1966, 2014, 2015, 2063, 2064]",9
2,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"[1765, 1766, 1816, 1817, 1867]",5
3,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"(-71.121207900000002, 42.371297100000007)",Jfk St,"[1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766]",8
4,"(-71.121207900000002, 42.371297100000007)",Jfk St,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"[1368, 1418, 1467, 1468, 1517]",5
5,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"(-71.106158299999976, 42.359148400000002)",Brookline St,"[1319, 1320, 1368, 1369]",4
6,"(-71.106158299999976, 42.359148400000002)",Brookline St,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"[1319, 1320, 1368, 1369, 1418]",5
7,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"(-71.082650200000003, 42.3535106)",Storrow Dr,"[1223, 1224, 1225, 1271, 1272, 1273, 1320, 1321, 1368, 1369, 1370, 1418]",12
8,"(-71.082650200000003, 42.3535106)",Storrow Dr,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"[907, 908, 958, 959, 960, 961, 1011, 1012, 1013, 1014, 1064, 1065, 1066, 1067, 1068, 1118, 1119, 1120, 1121, 1171, 1172, 1173, 1174, 1175, 1225]",25
9,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"[869, 870, 871, 872, 873, 874, 875, 876, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919]",21
10,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"[874, 875, 876, 922, 923, 924]",6
11,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"[922, 923, 924, 974, 975, 976, 1026]",7
12,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd/Massachusetts Ave,"[825, 875, 925, 926, 976, 1026]",6
13,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd/Massachusetts Ave,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"[825, 875, 925, 926, 976, 1026]",6
14,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"[922, 923, 924, 974, 975, 976, 1026]",7
15,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"[874, 875, 876, 922, 923, 924]",6
16,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"[869, 870, 871, 872, 873, 874, 875, 876, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919]",21
17,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"(-71.082650200000003, 42.3535106)",Storrow Dr,"[907, 908, 958, 959, 960, 961, 1011, 1012, 1013, 1014, 1064, 1065, 1066, 1067, 1068, 1118, 1119, 1120, 1121, 1171, 1172, 1173, 1174, 1175, 1225]",25
18,"(-71.082650200000003, 42.3535106)",Storrow Dr,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"[1223, 1224, 1225, 1271, 1272, 1273, 1320, 1321, 1368, 1369, 1370, 1418]",12
19,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"(-71.106158299999976, 42.359148400000002)",Brookline St,"[1319, 1320, 1368, 1369, 1418]",5
20,"(-71.106158299999976, 42.359148400000002)",Brookline St,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"[1319, 1320, 1368, 1369]",4
21,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"(-71.121207900000002, 42.371297100000007)",Jfk St,"[1368, 1418, 1467, 1468, 1517]",5
22,"(-71.121207900000002, 42.371297100000007)",Jfk St,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"[1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766]",8
23,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"[1765, 1766, 1816, 1817, 1867]",5
24,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"(-71.137962000000002, 42.399880600000003)",US-3/MA-16/Alewife Brook Pkwy,"[1867, 1916, 1917, 1965, 1966, 2014, 2015, 2063, 2064]",9
25,"(-71.151317499999976, 42.418163700000008)",US-3/MA-60/Mystic St/Pleasant St,"(-71.181398299999998, 42.418561100000012)",Park Ave,"[2454, 2455, 2456, 2457, 2458, 2459, 2460]",7
26,"(-71.008278900000022, 42.403600500000003)",MA-16/Revere Beach Pkwy,"(-71.010248400000023, 42.409580299999988)",Central Ave,"[2191, 2240, 2241, 2290]",4
27,"(-71.010248400000023, 42.409580299999988)",Central Ave,"(-71.008278900000022, 42.403600500000003)",MA-16/Revere Beach Pkwy,"[2191, 2240, 2241, 2290]",4
28,"(-71.201143399999978, 42.359079600000001)",Adams St,"(-71.185843300000002, 42.362150399999997)",Galen St,"[1300, 1301, 1302, 1352, 1353]",5
29,"(-71.185908500000025, 42.362425899999998)",Galen St,"(-71.183207400000001, 42.364812800000003)",US-20/Main St/N Beacon St,"[1353, 1403]",2
30,"(-71.150207700000024, 42.374741899999997)",Belmont St,"(-71.148504899999978, 42.374886299999993)",Mount Auburn St,[1611],1
31,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.143671299999994, 42.382032200000012)",US-3/MA-2/Fresh Pond Pkwy,"[1613, 1662, 1663, 1712, 1762]",5
32,"(-71.143671299999994, 42.382032200000012)",US-3/MA-2/Fresh Pond Pkwy,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"[1762, 1812, 1862]",3
33,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"[1861, 1862, 1910, 1911]",4
34,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"(-71.148271299999976, 42.399566299999996)",MA-2A/Concord Tpke,"[1910, 1960, 2010, 2011, 2061]",5
35,"(-71.148271299999976, 42.399566299999996)",MA-2A/Concord Tpke,"(-71.1160797, 42.372578900000001)",US-3/MA-2A/Massachusetts Ave,"[1567, 1568, 1617, 1666, 1667, 1715, 1716, 1765, 1814, 1815, 1863, 1864, 1913, 1962, 1963, 2011, 2012, 2061]",18
36,"(-71.1160797, 42.372578900000001)",US-3/MA-2A/Massachusetts Ave,"(-71.107591399999976, 42.398378800000003)",Broadway,"[1568, 1618, 1668, 1718, 1768, 1769, 1819, 1869, 1919, 1969, 2019, 2069, 2070]",13
37,"(-71.107591399999976, 42.398378800000003)",Broadway,"(-71.124693700000023, 42.404957200000013)",Powder House Blvd,"[2069, 2070, 2117, 2118, 2119, 2166, 2167]",7
38,"(-71.124693700000023, 42.404957200000013)",Powder House Blvd,"(-71.115601799999993, 42.405192399999997)",Boston Ave,"[2166, 2167, 2217, 2218]",4
39,"(-71.108774200000013, 42.407193900000003)",MA-38/Main St,"(-71.114783500000001, 42.4189407)",MA-16/Mystic Valley Pkwy,"[2219, 2269, 2319, 2368, 2369, 2418, 2468]",7
40,"(-71.114783500000001, 42.4189407)",MA-16/Mystic Valley Pkwy,"(-71.103939299999993, 42.418478100000009)",I-93,"[2468, 2469, 2470]",3
41,"(-71.103939299999993, 42.418478100000009)",I-93,"(-71.084402499999996, 42.409396800000003)",MA-28/Fellsway,"[2274, 2323, 2324, 2372, 2373, 2421, 2422, 2470, 2471]",9
42,"(-71.084402499999996, 42.409396800000003)",MA-28/Fellsway,"(-71.054157899999979, 42.408515399999999)",MA-99/Broadway,"[2274, 2275, 2276, 2277, 2278, 2279, 2280, 2281]",8
43,"(-71.054157899999979, 42.408515399999999)",MA-99/Broadway,"(-71.039928400000022, 42.397788299999988)",US-1/Northeast Expy (Chelsea),"[2083, 2084, 2133, 2182, 2183, 2231, 2232, 2281]",8
44,"(-71.027667799999975, 42.409608800000001)",US-1/Northeast Expy (Chelsea),"(-71.027667799999975, 42.409608800000001)",US-1/Northeast Expy (Revere),[2287],1
45,"(-71.012258099999983, 42.410186200000012)",MA-107/Broadway,"(-71.008127399999978, 42.397573000000008)",MA-1A/Lee Burbank Hwy,"[2091, 2140, 2141, 2190, 2240, 2290]",6
46,"(-71.008127399999978, 42.397573000000008)",MA-1A/Lee Burbank Hwy,"(-71.012258099999983, 42.410186200000012)",MA-107/Broadway,"[2091, 2140, 2141, 2190, 2240, 2290]",6
47,"(-71.022930099999996, 42.399176999999987)",MA-107/Broadway,"(-71.027667799999975, 42.409608800000001)",US-1/Northeast Expy (Revere),"[2087, 2088, 2137, 2187, 2237, 2287]",6
48,"(-71.027667799999975, 42.409608800000001)",US-1/Northeast Expy (Revere),"(-71.037540499999977, 42.397849899999997)",US-1/Northeast Expy (Chelsea),"[2084, 2085, 2135, 2185, 2186, 2236, 2286, 2287]",8
49,"(-71.039928400000022, 42.397788299999988)",US-1/Northeast Expy (Chelsea),"(-71.054157899999979, 42.408515399999999)",MA-99/Broadway,"[2083, 2084, 2133, 2182, 2183, 2231, 2232, 2281]",8
50,"(-71.054157899999979, 42.408515399999999)",MA-99/Broadway,"(-71.084402499999996, 42.409396800000003)",MA-28/Fellsway,"[2274, 2275, 2276, 2277, 2278, 2279, 2280, 2281]",8
51,"(-71.084402499999996, 42.409396800000003)",MA-28/Fellsway,"(-71.103939299999993, 42.418478100000009)",I-93,"[2274, 2323, 2324, 2372, 2373, 2421, 2422, 2470, 2471]",9
52,"(-71.103939299999993, 42.418478100000009)",I-93,"(-71.114783500000001, 42.4189407)",MA-16/Mystic Valley Pkwy,"[2468, 2469, 2470]",3
53,"(-71.115601799999993, 42.405192399999997)",Boston Ave,"(-71.124693700000023, 42.404957200000013)",Powder House Blvd,"[2166, 2167, 2217, 2218]",4
54,"(-71.124693700000023, 42.404957200000013)",Powder House Blvd,"(-71.107591399999976, 42.398378800000003)",Broadway,"[2069, 2070, 2117, 2118, 2119, 2166, 2167]",7
55,"(-71.107591399999976, 42.398378800000003)",Broadway,"(-71.1160797, 42.372578900000001)",US-3/MA-2A/Massachusetts Ave,"[1568, 1618, 1668, 1718, 1768, 1769, 1819, 1869, 1919, 1969, 2019, 2069, 2070]",13
56,"(-71.1160797, 42.372578900000001)",US-3/MA-2A/Massachusetts Ave,"(-71.148271299999976, 42.399566299999996)",MA-2/Concord Tpke,"[1567, 1568, 1617, 1666, 1667, 1715, 1716, 1765, 1814, 1815, 1863, 1864, 1913, 1962, 1963, 2011, 2012, 2061]",18
57,"(-71.148271299999976, 42.399566299999996)",MA-2/Concord Tpke,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"[1910, 1960, 2010, 2011, 2061]",5
58,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"[1861, 1862, 1910, 1911]",4
59,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"[1712, 1762, 1812, 1862]",4
60,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"(-71.148504899999978, 42.374886299999993)",Mount Auburn St,"[1611, 1661, 1662, 1712]",4
61,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.151897300000002, 42.374918600000001)",Belmont St,"[1610, 1611, 1612, 1613]",4
62,"(-71.185843300000002, 42.362150399999997)",Galen St,"(-71.201143399999978, 42.359079600000001)",Adams St,"[1300, 1301, 1302, 1352, 1353]",5
63,"(-71.022150400000001, 42.381006399999997)",Swift St,"(-71.010766500000003, 42.389261100000013)",Boardman St,"[1738, 1788, 1789, 1839, 1889, 1890]",6
64,"(-71.010766500000003, 42.389261100000013)",Boardman St,"(-71.008278900000022, 42.403600500000003)",MA-145/Revere Beach Pkwy,"[1890, 1940, 1990, 2040, 2090, 2091, 2141, 2191]",8
65,"(-71.008278900000022, 42.403600500000003)",MA-145/Revere Beach Pkwy,"(-71.001144999999994, 42.411663999999988)",MA-60/Beach St/American Legion Hwy,"[2191, 2241, 2291, 2292, 2342]",5
66,"(-71.001144999999994, 42.411663999999988)",MA-60/Beach St/American Legion Hwy,"(-71.008278900000022, 42.403600500000003)",MA-145/Revere Beach Pkwy,"[2191, 2241, 2291, 2292, 2342]",5
67,"(-71.008278900000022, 42.403600500000003)",MA-145/Revere Beach Pkwy,"(-71.010766500000003, 42.389261100000013)",Boardman St,"[1890, 1940, 1990, 2040, 2090, 2091, 2141, 2191]",8
68,"(-71.010766500000003, 42.389261100000013)",Boardman St,"(-71.022150400000001, 42.381006399999997)",Swift St,"[1738, 1788, 1789, 1839, 1889, 1890]",6
69,"(-71.185908500000025, 42.362425899999998)",MA-16/Galen St,"(-71.149766099999994, 42.358508800000003)",I-90/Massachusetts Tpke/Leo M Birmingham Pkwy,"[1260, 1261, 1305, 1306, 1307, 1308, 1309, 1310, 1353, 1354, 1355]",11
70,"(-71.149766099999994, 42.358508800000003)",I-90/Massachusetts Tpke/Leo M Birmingham Pkwy,"(-71.150513100000026, 42.3538906)",Market St,"[1210, 1211, 1261]",3
71,"(-71.150513100000026, 42.3538906)",Market St,"(-71.065527699999976, 42.361245799999999)",Cambridge St,"[1210, 1211, 1212, 1213, 1214, 1215, 1216, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1378, 1379]",23
72,"(-71.065527699999976, 42.361245799999999)",Cambridge St,"(-71.131801400000015, 42.352006899999999)",Harvard Ave,"[1164, 1165, 1166, 1167, 1217, 1218, 1219, 1220, 1221, 1271, 1272, 1273, 1274, 1324, 1325, 1326, 1327, 1328, 1378, 1379]",20
73,"(-71.131801400000015, 42.352006899999999)",Harvard Ave,"(-71.097269400000002, 42.347899299999987)",I-90/Massachusetts Tpke (Boston),"[1071, 1072, 1116, 1117, 1118, 1119, 1120, 1121, 1164, 1165, 1166]",11
74,"(-71.097269400000002, 42.347899299999987)",I-90/Massachusetts Tpke (Boston),"(-71.109554500000002, 42.351076500000012)",MA-2/University Rd,"[1071, 1072, 1119, 1120, 1121, 1169]",6
75,"(-71.109554500000002, 42.351076500000012)",MA-2/University Rd,"(-71.120609199999976, 42.342439400000004)",Fenway/Beacon St/Boylston St,"[967, 1017, 1018, 1068, 1118, 1119, 1169]",7
76,"(-71.120609199999976, 42.342439400000004)",Fenway/Beacon St/Boylston St,"(-71.109554500000002, 42.351076500000012)",MA-2/University Rd,"[967, 1017, 1018, 1068, 1118, 1119, 1169]",7
77,"(-71.109554500000002, 42.351076500000012)",MA-2/University Rd,"(-71.097269400000002, 42.347899299999987)",I-90/Massachusetts Tpke (Boston),"[1071, 1072, 1119, 1120, 1121, 1169]",6
78,"(-71.097269400000002, 42.347899299999987)",I-90/Massachusetts Tpke (Boston),"(-71.131801400000015, 42.352006899999999)",Harvard Ave,"[1071, 1072, 1116, 1117, 1118, 1119, 1120, 1121, 1164, 1165, 1166]",11
79,"(-71.131801400000015, 42.352006899999999)",Harvard Ave,"(-71.065527699999976, 42.361245799999999)",Cambridge St,"[1164, 1165, 1166, 1167, 1217, 1218, 1219, 1220, 1221, 1271, 1272, 1273, 1274, 1324, 1325, 1326, 1327, 1328, 1378, 1379]",20
80,"(-71.065527699999976, 42.361245799999999)",Cambridge St,"(-71.150513100000026, 42.3538906)",Market St,"[1210, 1211, 1212, 1213, 1214, 1215, 1216, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1378, 1379]",23
81,"(-71.150513100000026, 42.3538906)",Market St,"(-71.149766099999994, 42.358508800000003)",I-90/Massachusetts Tpke/Leo M Birmingham Pkwy,"[1210, 1211, 1261]",3
82,"(-71.149766099999994, 42.358508800000003)",I-90/Massachusetts Tpke/Leo M Birmingham Pkwy,"(-71.185908500000025, 42.362425899999998)",MA-16/Galen St,"[1260, 1261, 1305, 1306, 1307, 1308, 1309, 1310, 1353, 1354, 1355]",11
83,"(-71.118193300000001, 42.321214900000008)",Perkins St,"(-71.119200999999975, 42.306776900000003)",MA-203/Pond St/Arborway,"[267, 317, 367, 417, 467, 517, 567]",7
84,"(-71.121100200000001, 42.313408500000001)",MA-203/Pond St/Arborway,"(-71.130267599999996, 42.297874899999997)",Centre St,"[115, 165, 215, 216, 266, 316, 366, 367, 417]",9
85,"(-71.130267599999996, 42.297874899999997)",Centre St,"(-71.102736099999987, 42.306398799999997)",Forest Hills St,"[115, 116, 166, 167, 217, 218, 219, 269, 270, 271]",10
86,"(-71.049706799999996, 42.333542100000003)",Dorchester Ave,"(-71.059444200000002, 42.374408600000002)",Adams St,"[832, 882, 932, 981, 982, 1031, 1081, 1131, 1181, 1231, 1281, 1330, 1331, 1380, 1430, 1480, 1530, 1580, 1630]",19
87,"(-71.059444200000002, 42.374408600000002)",Adams St,"(-71.049706799999996, 42.333542100000003)",Dorchester Ave,"[832, 882, 932, 981, 982, 1031, 1081, 1131, 1181, 1231, 1281, 1330, 1331, 1380, 1430, 1480, 1530, 1580, 1630]",19
88,"(-71.102736099999987, 42.306398799999997)",Forest Hills St,"(-71.130267599999996, 42.297874899999997)",Centre St,"[115, 116, 166, 167, 217, 218, 219, 269, 270, 271]",10
89,"(-71.130267599999996, 42.297874899999997)",Centre St,"(-71.114977699999997, 42.323691700000012)",Jamaicaway,"[115, 165, 215, 216, 266, 316, 366, 367, 417, 467, 517, 518, 568, 618]",14
90,"(-71.114977699999997, 42.323691700000012)",Jamaicaway,"(-71.118193300000001, 42.321214900000008)",Perkins St,"[567, 568, 618]",3
91,"(-71.102425400000001, 42.382124900000001)",Somerville Ave,"(-71.088666000000003, 42.395884400000007)",I-93 (Somerville),"[1771, 1821, 1822, 1872, 1922, 1923, 1973, 2023, 2024]",9
92,"(-71.103939299999993, 42.418478100000009)",I-93 (Somerville),"(-71.128710999999996, 42.417025000000002)",Mystic Valley Pkwy/Revere Beach Pkwy,"[2415, 2416, 2417, 2418, 2419, 2469, 2470]",7
93,"(-71.092293000000012, 42.406293900000001)",Mystic Valley Pkwy/Revere Beach Pkwy,"(-71.103939299999993, 42.418478100000009)",I-93 (Medford),"[2223, 2272, 2273, 2321, 2322, 2371, 2420, 2421, 2470]",9
94,"(-71.103939299999993, 42.418478100000009)",I-93 (Medford),"(-71.092293000000012, 42.406293900000001)",Mystic Valley Pkwy/Revere Beach Pkwy,"[2223, 2272, 2273, 2321, 2322, 2371, 2420, 2421, 2470]",9
95,"(-71.128710999999996, 42.417025000000002)",Mystic Valley Pkwy/Revere Beach Pkwy,"(-71.103939299999993, 42.418478100000009)",I-93 (Somerville),"[2415, 2416, 2417, 2418, 2419, 2469, 2470]",7
96,"(-71.088666000000003, 42.395884400000007)",I-93 (Somerville),"(-71.102425400000001, 42.382124900000001)",Somerville Ave,"[1771, 1821, 1822, 1872, 1922, 1923, 1973, 2023, 2024]",9
97,"(-71.096969299999998, 42.322046200000003)",Centre St/Ritchie St,"(-71.078063700000001, 42.340517000000013)",Tremont St (Boston),"[572, 622, 672, 673, 723, 724, 774, 824, 825, 875, 925, 926, 976]",13
98,"(-71.078063700000001, 42.340517000000013)",Tremont St (Boston),"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"[825, 875, 876, 926, 976]",5
99,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"[825, 874, 875, 924, 973, 974, 1023, 1073, 1122, 1123, 1172, 1221, 1222, 1271, 1320, 1321, 1370, 1419, 1420, 1469, 1519, 1568, 1569, 1618, 1667, 1668, 1717, 1766, 1767, 1816, 1865, 1866, 1915, 1964, 1965, 2014, 2064, 2113, 2114]",39
100,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"(-71.106837599999977, 42.3459906)",MA-2/Beacon St,"[1069, 1070, 1119, 1169, 1219, 1268, 1269, 1318, 1368, 1417, 1418, 1467, 1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766, 1815, 1865, 1914, 1915, 1964, 2014, 2063, 2064, 2113]",29
101,"(-71.106837599999977, 42.3459906)",MA-2/MA-28/Beacon St,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"[1069, 1070, 1119, 1169, 1219, 1268, 1269, 1318, 1368, 1417, 1418, 1467, 1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766, 1815, 1865, 1914, 1915, 1964, 2014, 2063, 2064, 2113]",29
